Timestamp,User,Host Name,Message
1554191383,LRobinett,OfficeComputer11,Logged On Successful
1554191385,RKelly,OfficeComputer8,Logged On Successful
1554191387,LCarney,Server1,Logged Off Successful
1554191387,LRobinett,OfficeComputer11,Started Python Client
1554191388,RKelly,OfficeComputer8,Started SNMP Client
1554191389,KSwanson,OfficeComputer17,Logged Off Successful
1554191391,TRivers,OfficeComputer5,Logged Off Successful
1554191393,MBowen,OfficeComputer2,Logged Off Successful
1554191395,DHawkins,OfficeComputer13,Logged On Successful
1554191396,DHawkins,OfficeComputer13,Started FTP Client
1554191397,MFoster,OfficeComputer20,Logged On Successful
1554191399,WDavis,OfficeComputer16,Logged Off Successful
1554191401,RKelly,OfficeComputer16,Logged Off Successful
1554191401,MFoster,OfficeComputer20,Started FTP Client
1554191403,LCarney,OfficeComputer17,Logged Off Successful
1554191405,DHawkins,OfficeComputer11,Logged On Successful
1554191407,DHawkins,TestSystem1,Logged Off Successful
1554191409,WDavis,OfficeComputer3,Logged On Successful
1554191411,RFrank,OfficeComputer19,Logged Off Successful
1554191413,SConrad,OfficeComputer18,Logged Off Successful
1554191413,DHawkins,OfficeComputer11,Started FTP Client
1554191415,MFoster,Server2,Logged Off Successful
1554191417,MBowen,Server3,Logged Off Successful
1554191417,WDavis,OfficeComputer3,Started Web Client
1554191419,WDavis,OfficeComputer7,Logged On Successful
1554191421,RFrank,OfficeComputer4,Logged Off Successful
1554191423,SWayman,Server1,Logged On Successful
1554191424,WDavis,OfficeComputer7,Started Web Client
1554191425,LRobinett,OfficeComputer6,Logged Off Successful
1554191427,LBaker,OfficeComputer4,Logged On Successful
1554191428,SWayman,Server1,Started Python Client
1554191429,LBaker,OfficeComputer14,Logged Off Successful
1554191431,TRivers,Server1,Logged Off Successful
1554191433,LRobinett,OfficeComputer13,Logged On Successful
1554191434,LBaker,OfficeComputer4,Started SNMP Client
1554191434,LRobinett,OfficeComputer13,Started SNMP Client
1554191435,SConrad,OfficeComputer4,Logged Off Successful
1554191437,SConrad,Server2,Logged On Successful
1554191439,LMarshall,OfficeComputer12,Logged Off Successful
1554191441,KSwanson,OfficeComputer15,Logged On Successful
1554191443,WDavis,OfficeComputer19,Logged Off Successful
1554191443,SConrad,Server2,Started FTP Client
1554191445,EJacobs,OfficeComputer16,Logged On Successful
1554191447,MFoster,OfficeComputer10,Logged On Successful
1554191447,KSwanson,OfficeComputer15,Started Web Client
1554191449,MFoster,OfficeComputer16,Logged Off Successful
1554191449,MFoster,OfficeComputer10,Started FTP Client
1554191451,LCarney,OfficeComputer5,Logged Off Successful
1554191452,EJacobs,OfficeComputer16,Started Web Client
1554191453,MFoster,OfficeComputer6,Logged Off Successful
1554191455,LBaker,OfficeComputer16,Logged Off Successful
1554191457,RMelton,OfficeComputer12,Logged On Successful
1554191459,LRobinett,OfficeComputer12,Logged Off Successful
1554191461,MFoster,OfficeComputer9,Logged Off Successful
1554191463,KSwanson,OfficeComputer10,Logged On Successful
1554191464,RMelton,OfficeComputer12,Started SNMP Client
1554191465,RMelton,OfficeComputer2,Logged On Successful
1554191467,LRobinett,OfficeComputer1,Logged Off Successful
1554191469,EJacobs,OfficeComputer5,Logged Off Successful
1554191471,SConrad,OfficeComputer5,Logged Off Successful
1554191471,KSwanson,OfficeComputer10,Started FTP Client
1554191473,MBowen,OfficeComputer7,Logged On Successful
1554191473,RMelton,OfficeComputer2,Started FTP Client
1554191475,LMarshall,OfficeComputer4,Logged On Successful
1554191476,LMarshall,OfficeComputer4,Started Web Client
1554191477,SConrad,OfficeComputer11,Logged Off Successful
1554191479,KSwanson,Server1,Logged Off Successful
1554191480,MBowen,OfficeComputer7,Started Web Client
1554191481,RFrank,OfficeComputer12,Logged On Successful
1554191483,LCarney,TestSystem1,Logged On Successful
1554191485,EJacobs,OfficeComputer18,Logged Off Successful
1554191487,LBaker,OfficeComputer19,Logged Off Successful
1554191487,LCarney,TestSystem1,Started Python Client
1554191488,RFrank,OfficeComputer12,Started Python Client
1554191489,LRobinett,Server3,Logged On Successful
1554191491,LRobinett,OfficeComputer18,Logged On Successful
1554191492,LRobinett,OfficeComputer18,Started Python Client
1554191493,LBaker,OfficeComputer6,Logged On Successful
1554191495,TRivers,OfficeComputer9,Logged Off Successful
1554191495,LRobinett,Server3,Started FTP Client
1554191497,HMcCann,OfficeComputer4,Logged Off Successful
1554191499,BCombs,Server1,Logged On Successful
1554191500,BCombs,Server1,Started SNMP Client
1554191501,TRivers,OfficeComputer8,Logged On Successful
1554191501,LBaker,OfficeComputer6,Started Web Client
1554191503,MFoster,OfficeComputer2,Logged On Successful
1554191505,LMarshall,OfficeComputer20,Logged On Successful
1554191505,MFoster,OfficeComputer2,Started Python Client
1554191507,LMarshall,Server1,Logged Off Successful
1554191507,TRivers,OfficeComputer8,Started SNMP Client
1554191508,LMarshall,OfficeComputer20,Started Python Client
1554191509,BCombs,OfficeComputer6,Logged On Successful
1554191511,BCombs,OfficeComputer17,Logged Off Successful
1554191512,BCombs,OfficeComputer6,Started Python Client
1554191513,SWayman,OfficeComputer7,Logged On Successful
1554191515,RMelton,OfficeComputer9,Logged Off Successful
1554191517,KSwanson,Server3,Logged Off Successful
1554191519,LRobinett,OfficeComputer4,Logged On Successful
1554191521,RMelton,OfficeComputer12,Logged On Successful
1554191521,SWayman,OfficeComputer7,Started Python Client
1554191523,MBowen,OfficeComputer5,Logged Off Successful
1554191523,RMelton,OfficeComputer12,Started Web Client
1554191525,RKelly,OfficeComputer4,Logged On Successful
1554191526,RKelly,OfficeComputer4,Started Python Client
1554191527,RMelton,OfficeComputer1,Logged On Successful
1554191527,LRobinett,OfficeComputer4,Started Web Client
1554191529,TRivers,OfficeComputer17,Logged On Successful
1554191531,LBaker,OfficeComputer10,Logged Off Successful
1554191533,LBaker,OfficeComputer19,Logged Off Successful
1554191533,RMelton,OfficeComputer1,Started FTP Client
1554191533,TRivers,OfficeComputer17,Started Python Client
1554191535,LRobinett,OfficeComputer13,Logged Off Successful
1554191537,DHawkins,OfficeComputer17,Logged On Successful
1554191539,LMarshall,TestSystem2,Logged Off Successful
1554191541,PCannon,OfficeComputer13,Logged Off Successful
1554191542,DHawkins,OfficeComputer17,Started Python Client
1554191543,MFoster,OfficeComputer15,Logged Off Successful
1554191545,MBowen,OfficeComputer15,Logged Off Successful
1554191547,WDavis,OfficeComputer5,Logged On Successful
1554191548,WDavis,OfficeComputer5,Started FTP Client
1554191549,PCannon,TestSystem2,Logged On Successful
1554191551,TRivers,Server1,Logged On Successful
1554191553,SWayman,OfficeComputer11,Logged Off Successful
1554191553,PCannon,TestSystem2,Started SNMP Client
1554191553,TRivers,Server1,Started Web Client
1554191555,LCarney,OfficeComputer12,Logged On Successful
1554191557,TRivers,OfficeComputer16,Logged On Successful
1554191557,LCarney,OfficeComputer12,Started SNMP Client
1554191558,TRivers,OfficeComputer16,Started SNMP Client
1554191559,LMarshall,TestSystem1,Logged On Successful
1554191561,RFrank,OfficeComputer8,Logged Off Successful
1554191563,LMarshall,OfficeComputer1,Logged On Successful
1554191563,LMarshall,TestSystem1,Started FTP Client
1554191565,MFoster,Server2,Logged Off Successful
1554191567,TRivers,OfficeComputer17,Logged On Successful
1554191568,LMarshall,OfficeComputer1,Started FTP Client
1554191569,RKelly,OfficeComputer11,Logged Off Successful
1554191571,MFoster,Server2,Logged On Successful
1554191573,LMarshall,OfficeComputer6,Logged On Successful
1554191574,TRivers,OfficeComputer17,Started SNMP Client
1554191575,RMelton,OfficeComputer15,Logged On Successful
1554191575,LMarshall,OfficeComputer6,Started Python Client
1554191576,RMelton,OfficeComputer15,Started SNMP Client
1554191577,LRobinett,OfficeComputer11,Logged On Successful
1554191578,MFoster,Server2,Started FTP Client
1554191579,LMarshall,OfficeComputer1,Logged On Successful
1554191581,SWayman,OfficeComputer1,Logged On Successful
1554191581,LRobinett,OfficeComputer11,Started SNMP Client
1554191583,LRobinett,OfficeComputer20,Logged Off Successful
1554191583,LMarshall,OfficeComputer1,Started Web Client
1554191584,SWayman,OfficeComputer1,Started SNMP Client
1554191585,PCannon,OfficeComputer1,Logged On Successful
1554191587,PCannon,OfficeComputer6,Logged On Successful
1554191587,PCannon,OfficeComputer1,Started FTP Client
1554191589,DHawkins,OfficeComputer11,Logged Off Successful
1554191591,LCarney,OfficeComputer3,Logged Off Successful
1554191591,PCannon,OfficeComputer6,Started FTP Client
1554191593,HMcCann,TestSystem2,Logged Off Successful
1554191595,EJacobs,OfficeComputer17,Logged Off Successful
1554191597,MFoster,OfficeComputer7,Logged Off Successful
1554191599,BCombs,OfficeComputer19,Logged On Successful
1554191600,BCombs,OfficeComputer19,Started Python Client
1554191601,RFrank,OfficeComputer3,Logged Off Successful
1554191603,LRobinett,OfficeComputer11,Logged Off Successful
1554191605,WDavis,OfficeComputer12,Logged Off Successful
1554191607,PCannon,OfficeComputer7,Logged On Successful
1554191609,RKelly,OfficeComputer13,Logged On Successful
1554191610,RKelly,OfficeComputer13,Started Web Client
1554191611,PCannon,OfficeComputer2,Logged On Successful
1554191612,PCannon,OfficeComputer7,Started FTP Client
1554191613,RFrank,OfficeComputer17,Logged Off Successful
1554191615,SConrad,TestSystem2,Logged On Successful
1554191617,BCombs,OfficeComputer16,Logged Off Successful
1554191619,SWayman,OfficeComputer8,Logged Off Successful
1554191619,PCannon,OfficeComputer2,Started Web Client
1554191621,RFrank,OfficeComputer19,Logged Off Successful
1554191623,HMcCann,OfficeComputer5,Logged On Successful
1554191623,SConrad,TestSystem2,Started Python Client
1554191625,RKelly,OfficeComputer10,Logged On Successful
1554191627,LMarshall,OfficeComputer13,Logged Off Successful
1554191627,HMcCann,OfficeComputer5,Started Web Client
1554191629,RMelton,OfficeComputer15,Logged Off Successful
1554191629,RKelly,OfficeComputer10,Started SNMP Client
1554191631,MFoster,OfficeComputer15,Logged Off Successful
1554191633,KSwanson,OfficeComputer9,Logged On Successful
1554191635,BCombs,OfficeComputer11,Logged Off Successful
1554191637,BCombs,OfficeComputer15,Logged Off Successful
1554191637,KSwanson,OfficeComputer9,Started Web Client
1554191639,RKelly,Server2,Logged On Successful
1554191641,MBowen,OfficeComputer14,Logged Off Successful
1554191643,LBaker,Server2,Logged Off Successful
1554191643,RKelly,Server2,Started SNMP Client
1554191645,MBowen,OfficeComputer15,Logged On Successful
1554191647,LMarshall,OfficeComputer14,Logged On Successful
1554191647,MBowen,OfficeComputer15,Started Python Client
1554191649,DHawkins,Server3,Logged On Successful
1554191651,LMarshall,OfficeComputer7,Logged Off Successful
1554191651,LMarshall,OfficeComputer14,Started Python Client
1554191653,SConrad,OfficeComputer17,Logged Off Successful
1554191653,DHawkins,Server3,Started Web Client
1554191655,LBaker,OfficeComputer9,Logged Off Successful
1554191657,DHawkins,OfficeComputer3,Logged On Successful
1554191659,MBowen,OfficeComputer7,Logged Off Successful
1554191661,LBaker,OfficeComputer5,Logged On Successful
1554191663,DHawkins,OfficeComputer10,Logged Off Successful
1554191664,DHawkins,OfficeComputer3,Started Python Client
1554191665,DHawkins,Server1,Logged On Successful
1554191666,LBaker,OfficeComputer5,Started Web Client
1554191667,LBaker,OfficeComputer16,Logged On Successful
1554191667,DHawkins,Server1,Started Python Client
1554191669,RFrank,OfficeComputer20,Logged On Successful
1554191670,LBaker,OfficeComputer16,Started SNMP Client
1554191671,RMelton,OfficeComputer3,Logged On Successful
1554191672,RFrank,OfficeComputer20,Started Web Client
1554191673,WDavis,OfficeComputer7,Logged On Successful
1554191674,RMelton,OfficeComputer3,Started Python Client
1554191675,LRobinett,OfficeComputer19,Logged On Successful
1554191677,SConrad,OfficeComputer11,Logged Off Successful
1554191679,MBowen,OfficeComputer9,Logged On Successful
1554191679,WDavis,OfficeComputer7,Started FTP Client
1554191681,BCombs,OfficeComputer18,Logged Off Successful
1554191681,LRobinett,OfficeComputer19,Started Web Client
1554191683,RFrank,OfficeComputer17,Logged On Successful
1554191685,LBaker,OfficeComputer11,Logged On Successful
1554191686,MBowen,OfficeComputer9,Started Python Client
1554191687,MBowen,Server1,Logged On Successful
1554191687,LBaker,OfficeComputer11,Started FTP Client
1554191689,EJacobs,OfficeComputer9,Logged Off Successful
1554191691,RKelly,OfficeComputer3,Logged Off Successful
1554191691,RFrank,OfficeComputer17,Started Web Client
1554191692,MBowen,Server1,Started Python Client
1554191693,RFrank,OfficeComputer10,Logged Off Successful
1554191695,RFrank,TestSystem2,Logged On Successful
1554191696,RFrank,TestSystem2,Started Python Client
1554191697,TRivers,OfficeComputer9,Logged On Successful
1554191699,LCarney,OfficeComputer12,Logged Off Successful
1554191701,LCarney,OfficeComputer13,Logged On Successful
1554191702,TRivers,OfficeComputer9,Started SNMP Client
1554191702,LCarney,OfficeComputer13,Started Web Client
1554191703,MFoster,Server3,Logged Off Successful
1554191705,SConrad,OfficeComputer18,Logged Off Successful
1554191707,BCombs,TestSystem1,Logged Off Successful
1554191709,LMarshall,OfficeComputer6,Logged On Successful
1554191710,LMarshall,OfficeComputer6,Started SNMP Client
1554191711,DHawkins,OfficeComputer8,Logged On Successful
1554191713,RKelly,OfficeComputer8,Logged Off Successful
1554191715,LBaker,OfficeComputer17,Logged Off Successful
1554191717,RKelly,Server2,Logged On Successful
1554191718,DHawkins,OfficeComputer8,Started Web Client
1554191719,EJacobs,OfficeComputer7,Logged On Successful
1554191721,LMarshall,OfficeComputer11,Logged Off Successful
1554191721,RKelly,Server2,Started SNMP Client
1554191723,MFoster,OfficeComputer8,Logged Off Successful
1554191725,RKelly,OfficeComputer15,Logged Off Successful
1554191725,EJacobs,OfficeComputer7,Started Web Client
1554191727,DHawkins,TestSystem2,Logged Off Successful
1554191729,LRobinett,Server2,Logged Off Successful
1554191731,PCannon,Server3,Logged On Successful
1554191733,SConrad,OfficeComputer17,Logged On Successful
1554191733,PCannon,Server3,Started SNMP Client
1554191735,KSwanson,OfficeComputer12,Logged On Successful
